,title,popularity,vote_count,id,vote_average,release_date,genre_ids
0,Avengers: Endgame,58.985,12386,299534,8.3,2019-04-24,"[28, 12, 878]"
1,Avatar,60.213,20869,19995,7.4,2009-12-10,"[28, 12, 14, 878]"
2,Star Wars: The Force Awakens,51.452,14128,140607,7.4,2015-12-15,"[28, 12, 14, 878]"
3,Avengers: Infinity War,87.698,17541,299536,8.3,2018-04-25,"[28, 12, 878]"
4,Jurassic World,43.54,15327,135397,6.6,2015-06-06,"[28, 12, 878, 53]"
5,The Avengers,51.985,21978,24428,7.7,2012-04-25,"[28, 12, 878]"
6,Avengers: Age of Ultron,42.839,15448,99861,7.3,2015-04-22,"[28, 12, 878]"
7,Black Panther,41.724,14720,284054,7.4,2018-02-13,"[28, 12, 14, 878]"
8,Star Wars: The Last Jedi,64.773,10221,181808,7.0,2017-12-13,"[28, 12, 878]"
9,Jurassic World: Fallen Kingdom,41.355,7270,351286,6.5,2018-06-06,"[28, 12, 878]"
10,Iron Man 3,39.317,15835,68721,6.9,2013-04-18,"[28, 12, 878]"
11,Captain America: Civil War,51.493,15810,271110,7.4,2016-04-27,"[28, 12, 878]"
12,Spider-Man: Far from Home,91.951,6800,429617,7.5,2019-06-28,"[28, 12, 878]"
13,Captain Marvel,49.942,8874,299537,7.0,2019-03-06,"[28, 12, 878]"
14,Transformers: Dark of the Moon,7.601,5560,38356,6.1,2011-06-28,"[28, 12, 878]"
15,Transformers: Age of Extinction,31.875,5384,91314,5.8,2014-06-25,"[28, 12, 878]"
16,Star Wars: The Rise of Skywalker,242.722,3924,181812,6.5,2019-12-18,"[28, 12, 878]"
17,Rogue One: A Star Wars Story,38.461,10638,330459,7.5,2016-12-14,"[28, 12, 878]"
18,Spider-Man: Homecoming,46.52,13825,315635,7.4,2017-07-05,"[28, 12, 18, 878]"
19,Guardians of the Galaxy Vol. 2,50.0,14467,283995,7.6,2017-04-19,"[28, 12, 35, 878]"
0,Venom,38.82,8366,335983,6.6,2018-09-28,"[28, 878]"
1,Star Wars: Episode III - Revenge of the Sith,34.236,8779,1895,7.3,2005-05-17,"[28, 12, 878]"
2,The Hunger Games: Catching Fire,26.160999999999998,12402,101299,7.4,2013-11-15,"[28, 12, 878]"
3,Transformers: Revenge of the Fallen,9.142999999999999,5608,8373,6.1,2009-06-19,"[28, 12, 878]"
4,Inception,63.486000000000004,25250,27205,8.3,2010-07-15,"[28, 12, 878]"
5,Guardians of the Galaxy,30.566,20196,118340,7.9,2014-07-30,"[28, 12, 878]"
6,2012,30.502,8548,14161,5.7,2009-10-10,"[28, 12, 878]"
7,The Hunger Games: Mockingjay - Part 1,57.71100000000001,11226,131631,6.8,2014-11-18,"[12, 878, 53]"
8,X-Men: Days of Future Past,34.332,11146,127585,7.5,2014-05-15,"[28, 12, 14, 878]"
9,Suicide Squad,22.834,15169,297761,5.9,2016-08-03,"[28, 12, 80, 14, 878]"
10,The Matrix Reloaded,31.916,6659,604,6.9,2003-05-15,"[28, 12, 878, 53]"
11,Gravity,30.464000000000002,10927,49047,7.2,2013-10-03,"[18, 878, 53]"
12,Captain America: The Winter Soldier,21.503,12582,100402,7.7,2014-03-20,"[28, 12, 878]"
13,Dawn of the Planet of the Apes,33.222,7851,119450,7.3,2014-06-26,"[28, 18, 878, 53]"
14,Transformers,8.671,7440,1858,6.7,2007-06-27,"[28, 12, 878]"
15,The Hunger Games,23.211,16067,70160,7.1,2012-03-12,"[12, 14, 878]"
16,Doctor Strange,41.341,14583,284052,7.4,2016-10-25,"[28, 12, 14, 878]"
17,Interstellar,86.074,21757,157336,8.3,2014-11-05,"[12, 18, 878]"
18,Man of Steel,32.001,10776,49521,6.5,2013-06-12,"[28, 12, 14, 878]"
19,Justice League,41.602,8769,141052,6.2,2017-11-15,"[28, 12, 14, 878]"
0,The Hunger Games: Mockingjay - Part 2,32.257,8511,131634,6.9,2015-11-18,"[28, 12, 878]"
1,Star Wars: Episode II - Attack of the Clones,35.488,8490,1894,6.5,2002-05-15,"[12, 28, 878]"
2,The Martian,44.87300000000001,13749,286217,7.7,2015-09-30,"[12, 18, 878]"
3,Men in Black 3,25.109,7264,41154,6.4,2012-05-23,"[28, 35, 878]"
4,Iron Man 2,40.925,14087,10138,6.8,2010-04-28,"[28, 12, 878]"
5,Ant-Man and the Wasp,37.294,8039,363088,7.0,2018-07-04,"[28, 12, 35, 878]"
6,Logan,40.53,13866,263115,7.8,2017-02-28,"[28, 18, 878]"
7,Transformers: The Last Knight,23.31,3794,335988,6.0,2017-06-16,"[28, 878, 53, 12]"
8,War of the Worlds,24.018,5156,74,6.4,2005-06-28,"[12, 878, 53]"
9,I Am Legend,40.853,10344,6479,7.1,2007-12-14,"[28, 18, 27, 878, 53]"
10,Iron Man,58.688,17908,1726,7.6,2008-04-30,"[28, 12, 878]"
11,Ready Player One,41.75899999999999,8837,333339,7.6,2018-03-28,"[12, 878]"
12,The Day After Tomorrow,22.042,5060,435,6.4,2004-05-26,"[28, 12, 878, 53]"
13,X-Men: Apocalypse,31.234,9262,246655,6.5,2016-05-18,"[28, 12, 878, 14]"
14,World War Z,37.982,10448,72190,6.7,2013-06-20,"[28, 18, 27, 878, 53]"
15,Godzilla,27.577,5773,124905,6.1,2014-05-14,"[28, 18, 878]"
16,WALL·E,38.865,12418,10681,8.0,2008-06-22,"[16, 878, 10751]"
17,Ant-Man,38.05,13668,102899,7.1,2015-07-14,"[28, 12, 878]"
18,War for the Planet of the Apes,30.264,5886,281338,7.1,2017-07-11,"[18, 878, 10752]"
19,Rise of the Planet of the Apes,24.632,8131,61791,7.2,2011-08-03,"[28, 18, 878, 53]"
0,Teenage Mutant Ninja Turtles,46.354,4736,98566,5.8,2014-08-07,"[28, 12, 35, 14, 878]"
1,Bumblebee,31.636,3504,424783,6.6,2018-12-15,"[28, 12, 878]"
2,Star Trek Into Darkness,23.373,6764,54138,7.3,2013-05-05,"[28, 12, 878]"
3,X-Men: The Last Stand,1.4909999999999999,6597,36668,6.4,2006-05-24,"[28, 12, 878, 53]"
4,Men in Black II,38.165,6682,608,6.3,2002-07-03,"[28, 12, 35, 878]"
5,Terminator Genisys,53.956,5976,87101,5.9,2015-06-23,"[28, 12, 878, 53]"
6,Terminator 3: Rise of the Machines,29.304000000000002,4165,296,6.0,2003-07-02,"[28, 53, 878]"
7,Rampage,30.838,4093,427641,6.3,2018-04-12,"[28, 12, 14, 878]"
8,The Matrix Revolutions,27.208000000000002,5977,605,6.6,2003-11-03,"[28, 12, 878, 53]"
9,The Wolverine,5.195,6785,76170,6.3,2013-07-23,"[28, 878, 12, 14]"
10,Signs,30.789,3383,2675,6.6,2002-08-02,"[18, 9648, 878, 53]"
11,X2,1.4869999999999999,6923,36658,7.0,2003-04-24,"[12, 28, 878, 53]"
12,Pacific Rim,23.916999999999998,8431,68726,6.8,2013-07-11,"[28, 878, 12]"
13,Alita: Battle Angel,50.395,4691,399579,7.0,2019-01-31,"[28, 12, 878]"
14,Prometheus,31.76,8222,70981,6.4,2012-05-30,"[12, 9648, 878]"
15,TRON: Legacy,23.746,4872,20526,6.4,2010-12-10,"[28, 12, 878]"
16,Solo: A Star Wars Story,49.382,5083,348350,6.6,2018-05-15,"[12, 878]"
17,Superman Returns,24.804000000000002,2702,1452,5.6,2006-06-28,"[28, 12, 878]"
18,Independence Day: Resurgence,26.615,4277,47933,5.1,2016-06-22,"[28, 12, 878]"
19,Godzilla: King of the Monsters,43.86,2365,373571,6.2,2019-05-29,"[28, 878]"
0,Star Trek,24.535,7014,13475,7.4,2009-05-06,"[28, 12, 878]"
1,Monsters vs Aliens,23.786,2990,15512,6.1,2009-03-19,"[16, 10751, 12, 878]"
2,Mad Max: Fury Road,38.877,16047,76341,7.5,2015-05-13,"[28, 12, 878]"
3,Spider-Man: Into the Spider-Verse,53.252,6797,324857,8.4,2018-12-06,"[28, 12, 16, 35, 878]"
4,X-Men Origins: Wolverine,3.089,7270,2080,6.2,2009-04-28,"[28, 12, 878, 53]"
5,G.I. Joe: Retaliation,28.262,4166,72559,5.5,2013-03-26,"[28, 12, 878, 53]"
6,Terminator Salvation,31.007,4296,534,6.0,2009-05-20,"[28, 878, 53]"
7,Captain America: The First Avenger,28.071,14541,1771,6.9,2011-07-22,"[28, 12, 878]"
8,Edge of Tomorrow,37.862,9157,137113,7.6,2014-05-27,"[28, 878]"
9,Home,22.916,2687,228161,6.8,2015-03-18,"[16, 35, 14, 878, 10751]"
10,Jurassic Park III,1.561,4415,331,6.0,2001-07-18,"[28, 12, 878, 53]"
11,Planet of the Apes,25.631,2496,869,5.7,2001-07-25,"[28, 12, 878, 53]"
12,Minority Report,25.252,5326,180,7.3,2002-06-20,"[28, 53, 878, 9648]"
13,Journey 2: The Mysterious Island,20.414,2540,72545,6.0,2012-01-19,"[28, 12, 878]"
14,X-Men: First Class,1.439,9140,49538,7.3,2011-06-01,"[28, 12, 878]"
15,The Maze Runner,52.063,11827,198663,7.1,2014-09-10,"[28, 9648, 878, 53]"
16,"I, Robot",41.90600000000001,7923,2048,6.9,2004-07-15,"[28, 878]"
17,Star Trek Beyond,25.011,4707,188927,6.7,2016-07-07,"[28, 12, 878]"
18,A Quiet Place,38.091,7649,447332,7.3,2018-04-03,"[18, 27, 878]"
19,Fantastic Four,29.84,6401,9738,5.7,2005-06-29,"[28, 12, 14, 878]"
0,Megamind,26.279,4242,38055,6.8,2010-10-28,"[28, 16, 35, 878, 10751]"
1,The Meg,41.31,3703,345940,5.9,2018-08-09,"[28, 27, 878]"
2,Maze Runner: The Scorch Trials,30.54300000000001,7089,294254,6.7,2015-09-09,"[28, 878, 53]"
3,Resident Evil: The Final Chapter,1.036,1804,173897,6.0,2016-12-23,"[28, 27, 878]"
4,Passengers,18.28,9077,274870,6.9,2016-12-21,"[18, 878, 10749]"
5,Battleship,26.605,3645,44833,5.7,2012-04-11,"[28, 12, 878, 53]"
6,G.I. Joe: The Rise of Cobra,43.84,3167,14869,5.7,2009-08-04,"[28, 12, 878, 53]"
7,Resident Evil: Afterlife,0.8590000000000001,2416,35791,6.0,2010-09-09,"[28, 12, 27, 878]"
8,Real Steel,25.32800000000001,5201,39254,6.8,2011-09-28,"[28, 878, 18]"
9,Austin Powers in Goldmember,27.955,1993,818,5.9,2002-07-26,"[35, 80, 878]"
10,X-Men,1.652,7733,36657,7.0,2000-07-13,"[28, 12, 878]"
