title,popularity,vote_count,mdb_id,vote_average,release_date,genre
Avengers: Endgame,58.985,12386,299534,8.3,2019-04-24,sci-fi
Avatar,60.213,20869,19995,7.4,2009-12-10,sci-fi
Star Wars: The Force Awakens,51.452,14128,140607,7.4,2015-12-15,sci-fi
Avengers: Infinity War,87.698,17541,299536,8.3,2018-04-25,sci-fi
Jurassic World,43.54,15327,135397,6.6,2015-06-06,sci-fi
The Avengers,51.985,21978,24428,7.7,2012-04-25,sci-fi
Avengers: Age of Ultron,42.839,15448,99861,7.3,2015-04-22,sci-fi
Black Panther,41.724,14720,284054,7.4,2018-02-13,sci-fi
Star Wars: The Last Jedi,64.773,10221,181808,7.0,2017-12-13,sci-fi
Jurassic World: Fallen Kingdom,41.355,7270,351286,6.5,2018-06-06,sci-fi
Iron Man 3,39.317,15835,68721,6.9,2013-04-18,sci-fi
Captain America: Civil War,51.493,15810,271110,7.4,2016-04-27,sci-fi
Spider-Man: Far from Home,91.95100000000001,6800,429617,7.5,2019-06-28,sci-fi
Captain Marvel,49.942,8874,299537,7.0,2019-03-06,sci-fi
Transformers: Dark of the Moon,7.601,5560,38356,6.1,2011-06-28,sci-fi
Transformers: Age of Extinction,31.875,5384,91314,5.8,2014-06-25,sci-fi
Star Wars: The Rise of Skywalker,242.722,3924,181812,6.5,2019-12-18,sci-fi
Rogue One: A Star Wars Story,38.461,10638,330459,7.5,2016-12-14,sci-fi
Spider-Man: Homecoming,46.52,13825,315635,7.4,2017-07-05,sci-fi
Guardians of the Galaxy Vol. 2,50.0,14467,283995,7.6,2017-04-19,sci-fi
Venom,38.82,8366,335983,6.6,2018-09-28,sci-fi
Star Wars: Episode III - Revenge of the Sith,34.236,8779,1895,7.3,2005-05-17,sci-fi
The Hunger Games: Catching Fire,26.161,12402,101299,7.4,2013-11-15,sci-fi
Transformers: Revenge of the Fallen,9.143,5608,8373,6.1,2009-06-19,sci-fi
Inception,63.486,25250,27205,8.3,2010-07-15,sci-fi
Guardians of the Galaxy,30.566,20196,118340,7.9,2014-07-30,sci-fi
2012,30.502,8548,14161,5.7,2009-10-10,sci-fi
The Hunger Games: Mockingjay - Part 1,57.71100000000001,11226,131631,6.8,2014-11-18,sci-fi
X-Men: Days of Future Past,34.332,11146,127585,7.5,2014-05-15,sci-fi
Suicide Squad,22.834,15169,297761,5.9,2016-08-03,sci-fi
The Matrix Reloaded,31.916,6659,604,6.9,2003-05-15,sci-fi
Gravity,30.464,10927,49047,7.2,2013-10-03,sci-fi
Captain America: The Winter Soldier,21.503,12582,100402,7.7,2014-03-20,sci-fi
Dawn of the Planet of the Apes,33.222,7851,119450,7.3,2014-06-26,sci-fi
Transformers,8.671,7440,1858,6.7,2007-06-27,sci-fi
The Hunger Games,23.211,16067,70160,7.1,2012-03-12,sci-fi
Doctor Strange,41.341,14583,284052,7.4,2016-10-25,sci-fi
Interstellar,86.074,21757,157336,8.3,2014-11-05,sci-fi
Man of Steel,32.001,10776,49521,6.5,2013-06-12,sci-fi
Justice League,41.602,8769,141052,6.2,2017-11-15,sci-fi
The Hunger Games: Mockingjay - Part 2,32.257,8511,131634,6.9,2015-11-18,sci-fi
Star Wars: Episode II - Attack of the Clones,35.488,8490,1894,6.5,2002-05-15,sci-fi
The Martian,44.87300000000001,13749,286217,7.7,2015-09-30,sci-fi
Men in Black 3,25.109,7264,41154,6.4,2012-05-23,sci-fi
Iron Man 2,40.925,14087,10138,6.8,2010-04-28,sci-fi
Ant-Man and the Wasp,37.294000000000004,8039,363088,7.0,2018-07-04,sci-fi
Logan,40.53,13866,263115,7.8,2017-02-28,sci-fi
Transformers: The Last Knight,23.31,3794,335988,6.0,2017-06-16,sci-fi
War of the Worlds,24.018,5156,74,6.4,2005-06-28,sci-fi
I Am Legend,40.853,10344,6479,7.1,2007-12-14,sci-fi
Iron Man,58.688,17908,1726,7.6,2008-04-30,sci-fi
Ready Player One,41.75899999999999,8837,333339,7.6,2018-03-28,sci-fi
The Day After Tomorrow,22.041999999999998,5060,435,6.4,2004-05-26,sci-fi
X-Men: Apocalypse,31.234,9262,246655,6.5,2016-05-18,sci-fi
World War Z,37.982,10448,72190,6.7,2013-06-20,sci-fi
Godzilla,27.576999999999998,5773,124905,6.1,2014-05-14,sci-fi
WALL·E,38.865,12418,10681,8.0,2008-06-22,sci-fi
Ant-Man,38.05,13668,102899,7.1,2015-07-14,sci-fi
War for the Planet of the Apes,30.264,5886,281338,7.1,2017-07-11,sci-fi
Rise of the Planet of the Apes,24.631999999999998,8131,61791,7.2,2011-08-03,sci-fi
Teenage Mutant Ninja Turtles,46.354,4736,98566,5.8,2014-08-07,sci-fi
Bumblebee,31.636,3504,424783,6.6,2018-12-15,sci-fi
Star Trek Into Darkness,23.373,6764,54138,7.3,2013-05-05,sci-fi
X-Men: The Last Stand,1.491,6597,36668,6.4,2006-05-24,sci-fi
Men in Black II,38.165,6682,608,6.3,2002-07-03,sci-fi
Terminator Genisys,53.956,5976,87101,5.9,2015-06-23,sci-fi
Terminator 3: Rise of the Machines,29.304,4165,296,6.0,2003-07-02,sci-fi
Rampage,30.838,4093,427641,6.3,2018-04-12,sci-fi
The Matrix Revolutions,27.208,5977,605,6.6,2003-11-03,sci-fi
The Wolverine,5.195,6785,76170,6.3,2013-07-23,sci-fi
Signs,30.789,3383,2675,6.6,2002-08-02,sci-fi
X2,1.487,6923,36658,7.0,2003-04-24,sci-fi
Pacific Rim,23.917,8431,68726,6.8,2013-07-11,sci-fi
Alita: Battle Angel,50.395,4691,399579,7.0,2019-01-31,sci-fi
Prometheus,31.76,8222,70981,6.4,2012-05-30,sci-fi
TRON: Legacy,23.746,4872,20526,6.4,2010-12-10,sci-fi
Solo: A Star Wars Story,49.382,5083,348350,6.6,2018-05-15,sci-fi
Superman Returns,24.804,2702,1452,5.6,2006-06-28,sci-fi
Independence Day: Resurgence,26.615,4277,47933,5.1,2016-06-22,sci-fi
Godzilla: King of the Monsters,43.86,2365,373571,6.2,2019-05-29,sci-fi
Star Trek,24.535,7014,13475,7.4,2009-05-06,sci-fi
Monsters vs Aliens,23.785999999999998,2990,15512,6.1,2009-03-19,sci-fi
Mad Max: Fury Road,38.876999999999995,16047,76341,7.5,2015-05-13,sci-fi
Spider-Man: Into the Spider-Verse,53.251999999999995,6797,324857,8.4,2018-12-06,sci-fi
X-Men Origins: Wolverine,3.089,7270,2080,6.2,2009-04-28,sci-fi
G.I. Joe: Retaliation,28.261999999999997,4166,72559,5.5,2013-03-26,sci-fi
Terminator Salvation,31.006999999999998,4296,534,6.0,2009-05-20,sci-fi
Captain America: The First Avenger,28.070999999999998,14541,1771,6.9,2011-07-22,sci-fi
Edge of Tomorrow,37.861999999999995,9157,137113,7.6,2014-05-27,sci-fi
Home,22.916,2687,228161,6.8,2015-03-18,sci-fi
Jurassic Park III,1.561,4415,331,6.0,2001-07-18,sci-fi
Planet of the Apes,25.631,2496,869,5.7,2001-07-25,sci-fi
Minority Report,25.252,5326,180,7.3,2002-06-20,sci-fi
Journey 2: The Mysterious Island,20.414,2540,72545,6.0,2012-01-19,sci-fi
X-Men: First Class,1.439,9140,49538,7.3,2011-06-01,sci-fi
The Maze Runner,52.063,11827,198663,7.1,2014-09-10,sci-fi
"I, Robot",41.90600000000001,7923,2048,6.9,2004-07-15,sci-fi
Star Trek Beyond,25.011,4707,188927,6.7,2016-07-07,sci-fi
A Quiet Place,38.091,7649,447332,7.3,2018-04-03,sci-fi
Fantastic Four,29.84,6401,9738,5.7,2005-06-29,sci-fi
