Title,Popularity,Vote_Count,Vote_Average,Release_Date,Genre,Revenue,Subgenre
Avengers: Endgame,58.985,12386,8.3,2019-04-24,sci-fi,858373000,Supernatural
Avengers: Endgame,58.985,12386,8.3,2019-04-24,sci-fi,858373000,Alien_Invasion
Avengers: Endgame,58.985,12386,8.3,2019-04-24,sci-fi,858373000,Time_Travel
Avengers: Endgame,58.985,12386,8.3,2019-04-24,sci-fi,858373000,Superhero
Avatar,60.213,20869,7.4,2009-12-10,sci-fi,749766139,Affliction
Avengers: Infinity War,87.698,17541,8.3,2018-04-25,sci-fi,678815482,Supernatural
Avengers: Infinity War,87.698,17541,8.3,2018-04-25,sci-fi,678815482,Superhero
The Avengers,51.985,21978,7.7,2012-04-25,sci-fi,623357910,Supernatural
The Avengers,51.985,21978,7.7,2012-04-25,sci-fi,623357910,Alien_Invasion
The Avengers,51.985,21978,7.7,2012-04-25,sci-fi,623357910,Superhero
Avengers: Age of Ultron,42.839,15448,7.3,2015-04-22,sci-fi,459005868,Supernatural
Avengers: Age of Ultron,42.839,15448,7.3,2015-04-22,sci-fi,459005868,Superhero
Avengers: Age of Ultron,42.839,15448,7.3,2015-04-22,sci-fi,459005868,Robot
Black Panther,41.724,14720,7.4,2018-02-13,sci-fi,700059566,Supernatural
Black Panther,41.724,14720,7.4,2018-02-13,sci-fi,700059566,Superhero
Iron Man 3,39.317,15835,6.9,2013-04-18,sci-fi,409013994,Supernatural
Iron Man 3,39.317,15835,6.9,2013-04-18,sci-fi,409013994,Superhero
Captain America: Civil War,51.493,15810,7.4,2016-04-27,sci-fi,408084349,Supernatural
Captain America: Civil War,51.493,15810,7.4,2016-04-27,sci-fi,408084349,Superhero
Spider-Man: Far from Home,91.951,6800,7.5,2019-06-28,sci-fi,390532085,Supernatural
Spider-Man: Far from Home,91.951,6800,7.5,2019-06-28,sci-fi,390532085,Superhero
Captain Marvel,49.942,8874,7.0,2019-03-06,sci-fi,426829839,Supernatural
Captain Marvel,49.942,8874,7.0,2019-03-06,sci-fi,426829839,Alien_Invasion
Captain Marvel,49.942,8874,7.0,2019-03-06,sci-fi,426829839,Superhero
Transformers: Dark of the Moon,7.601,5560,6.1,2011-06-28,sci-fi,352390543,Alien_Invasion
Transformers: Dark of the Moon,7.601,5560,6.1,2011-06-28,sci-fi,352390543,Robot
Transformers: Age of Extinction,31.875,5384,5.8,2014-06-25,sci-fi,245439076,Alien_Invasion
Transformers: Age of Extinction,31.875,5384,5.8,2014-06-25,sci-fi,245439076,Robot
Spider-Man: Homecoming,46.52,13825,7.4,2017-07-05,sci-fi,334201140,Supernatural
Spider-Man: Homecoming,46.52,13825,7.4,2017-07-05,sci-fi,334201140,Superhero
Guardians of the Galaxy Vol. 2,50.0,14467,7.6,2017-04-19,sci-fi,389813101,Supernatural
Guardians of the Galaxy Vol. 2,50.0,14467,7.6,2017-04-19,sci-fi,389813101,Superhero
Venom,38.82,8366,6.6,2018-09-28,sci-fi,213515506,Supernatural
Venom,38.82,8366,6.6,2018-09-28,sci-fi,213515506,Superhero
Star Wars: Episode III - Revenge of the Sith,34.236,8779,7.3,2005-05-17,sci-fi,380270577,Supernatural
The Hunger Games: Catching Fire,26.160999999999998,12402,7.4,2013-11-15,sci-fi,424668047,Post_Apocalypse
The Hunger Games: Catching Fire,26.160999999999998,12402,7.4,2013-11-15,sci-fi,424668047,Future
Transformers: Revenge of the Fallen,9.142999999999999,5608,6.1,2009-06-19,sci-fi,402111870,Alien_Invasion
Transformers: Revenge of the Fallen,9.142999999999999,5608,6.1,2009-06-19,sci-fi,402111870,Robot
Guardians of the Galaxy,30.566,20196,7.9,2014-07-30,sci-fi,333176600,Supernatural
Guardians of the Galaxy,30.566,20196,7.9,2014-07-30,sci-fi,333176600,Superhero
2012,30.502,8548,5.7,2009-10-10,sci-fi,166112167,Future
The Hunger Games: Mockingjay - Part 1,57.71100000000001,11226,6.8,2014-11-18,sci-fi,337135885,Post_Apocalypse
The Hunger Games: Mockingjay - Part 1,57.71100000000001,11226,6.8,2014-11-18,sci-fi,337135885,Future
X-Men: Days of Future Past,34.332,11146,7.5,2014-05-15,sci-fi,233921534,Supernatural
X-Men: Days of Future Past,34.332,11146,7.5,2014-05-15,sci-fi,233921534,Time_Travel
X-Men: Days of Future Past,34.332,11146,7.5,2014-05-15,sci-fi,233921534,Superhero
X-Men: Days of Future Past,34.332,11146,7.5,2014-05-15,sci-fi,233921534,Robot
Suicide Squad,22.834,15169,5.9,2016-08-03,sci-fi,325100054,Supernatural
Suicide Squad,22.834,15169,5.9,2016-08-03,sci-fi,325100054,Superhero
The Matrix Reloaded,31.916,6659,6.9,2003-05-15,sci-fi,281576461,Person_vs_Machine
The Matrix Reloaded,31.916,6659,6.9,2003-05-15,sci-fi,281576461,Post_Apocalypse
The Matrix Reloaded,31.916,6659,6.9,2003-05-15,sci-fi,281576461,Future
