,Date_Released,Lifetime_Gross,Title,Subgenre
0,"Apr 26, 2019","$858,373,000",Avengers: Endgame,Marvel
1,"Feb 16, 2018","$700,059,566",Black Panther,Marvel
2,"Apr 27, 2018","$678,815,482",Avengers: Infinity War,Marvel
3,"May 4, 2012","$623,357,910",The Avengers,Marvel
4,"May 1, 2015","$459,005,868",Avengers: Age of Ultron,Marvel
5,"Mar 8, 2019","$426,829,839",Captain Marvel,Marvel
6,"May 3, 2013","$409,013,994",Iron Man 3,Marvel
7,"May 6, 2016","$408,084,349",Captain America: Civil War,Marvel
8,"May 3, 2002","$403,706,375",Spider-Man,Marvel
9,"Jul 2, 2019","$390,532,085",Spider-Man: Far from Home,Marvel
10,"May 5, 2017","$389,813,101",Guardians of the Galaxy Vol. 2,Marvel
11,"Jun 30, 2004","$373,585,825",Spider-Man 2,Marvel
12,"Feb 12, 2016","$363,070,709",Deadpool,Marvel
13,"May 4, 2007","$336,530,303",Spider-Man 3,Marvel
14,"Jul 7, 2017","$334,201,140",Spider-Man: Homecoming,Marvel
15,"Aug 1, 2014","$333,176,600",Guardians of the Galaxy,Marvel
16,"May 2, 2008","$318,604,126",Iron Man,Marvel
17,"May 18, 2018","$318,491,426",Deadpool 2,Marvel
18,"Nov 3, 2017","$315,058,289",Thor: Ragnarok,Marvel
19,"May 7, 2010","$312,433,331",Iron Man 2,Marvel
20,"Jul 3, 2012","$262,030,663",The Amazing Spider-Man,Marvel
21,"Apr 4, 2014","$259,766,572",Captain America: The Winter Soldier,Marvel
22,"May 26, 2006","$234,362,462",X-Men: The Last Stand,Marvel
23,"May 23, 2014","$233,921,534",X-Men: Days of Future Past,Marvel
24,"Nov 4, 2016","$232,641,920",Doctor Strange,Marvel
25,"Mar 3, 2017","$226,277,068",Logan,Marvel
26,"Nov 7, 2014","$222,527,828",Big Hero 6,Marvel
27,"Jul 6, 2018","$216,648,740",Ant-Man and the Wasp,Marvel
28,"May 2, 2003","$214,949,694",X2: X-Men United,Marvel
29,"Oct 5, 2018","$213,515,506",Venom,Marvel
30,"Nov 8, 2013","$206,362,140",Thor: The Dark World,Marvel
31,"May 2, 2014","$202,853,933",The Amazing Spider-Man 2,Marvel
32,"Dec 14, 2018","$190,241,310",Spider-Man: Into the Spider-Verse,Marvel
33,"May 6, 2011","$181,030,624",Thor,Marvel
34,"Jul 17, 2015","$180,202,163",Ant-Man,Marvel
35,"May 1, 2009","$179,883,157",X-Men Origins: Wolverine,Marvel
36,"Jul 22, 2011","$176,654,505",Captain America: The First Avenger,Marvel
37,"Jul 14, 2000","$157,299,718",X-Men,Marvel
38,"May 27, 2016","$155,442,489",X-Men: Apocalypse,Marvel
39,"Jul 8, 2005","$154,696,080",Fantastic Four,Marvel
40,"Jun 3, 2011","$146,408,305",X-Men: First Class,Marvel
41,"Jun 13, 2008","$134,806,913",The Incredible Hulk,Marvel
42,"Jul 26, 2013","$132,556,852",The Wolverine,Marvel
43,"Jun 20, 2003","$132,177,234",Hulk,Marvel
44,"Jun 15, 2007","$131,921,738",Fantastic 4: Rise of the Silver Surfer,Marvel
45,"Feb 16, 2007","$115,802,596",Ghost Rider,Marvel
46,"Feb 14, 2003","$102,543,518",Daredevil,Marvel
47,"Mar 22, 2002","$82,348,319",Blade II,Marvel
48,"Aug 21, 1998","$70,087,718",Blade,Marvel
49,"Jun 7, 2019","$65,845,974",X-Men: Dark Phoenix,Marvel
50,"Aug 7, 2015","$56,117,548",Fantastic Four,Marvel
51,"Dec 8, 2004","$52,411,906",Blade: Trinity,Marvel
52,"Feb 17, 2012","$51,774,002",Ghost Rider: Spirit of Vengeance,Marvel
53,"Apr 16, 2004","$33,810,189",The Punisher,Marvel
54,"Jan 14, 2005","$24,409,722",Elektra,Marvel
55,"Aug 1, 1986","$16,295,774",Howard the Duck,Marvel
56,"Dec 5, 2008","$8,050,977",Punisher: War Zone,Marvel
57,"Sep 6, 2002","$6,632,970",Spider-Man/Men in Black IIDouble Bill,Marvel
58,"Dec 12, 2018","$6,100,309",Once Upon a Deadpool2018 Re-release,Marvel
59,"Sep 1, 2017","$1,521,787",Inhumans,Marvel
